source,publishedAt,raw_text,clean_text,url,locations,crime_types,crime_type,latitude,longitude
DW (English),2025-04-19T19:06:00Z,"US deportations to El Salvador test legal limits As court disputes heat up over the Trump administration's deportations of alleged criminal migrants to El Salvador, legal experts explain to DW what's at stake for both detainees and the rule of law. Ever since Donald Trump took office in January, migrants en… Ever since Donald Trump took office in January, migrants entering the United States have increasingly feared the threat of deportation. Now this threat has taken on a new dimension: The possibility o… [+6199 chars]",us deportations el salvador test legal limits court disputes heat trump administrations deportations alleged criminal migrants el salvador legal experts explain dw whats stake detainees rule law ever since donald trump took office january migrants en… ever since donald trump took office january migrants entering united states increasingly feared threat deportation threat taken new dimension possibility o… chars,https://www.dw.com/en/us-deportations-to-el-salvador-test-legal-limits/a-72289913,el salvador,,unknown,13.8000382,-88.9140683
ABC News (AU),2025-04-19T19:04:56Z,"Cost of living most important issue this election, Vote Compass data shows Vote Compass data shows cost of living is the most important issue for respondents ahead of the federal election. Vote Compass data shows cost of living is the most important issue for voters ahead of the election, with one quarter of respondents saying it is their biggest concern.
The cost of groceries and ren… [+5921 chars]",cost living important issue election vote compass data shows vote compass data shows cost living important issue respondents ahead federal election vote compass data shows cost living important issue voters ahead election one quarter respondents saying biggest concern cost groceries ren… chars,https://www.abc.net.au/news/2025-04-20/federal-election-2025-most-important-issue-vote-compass/105178788,,,unknown,46.3144754,11.0480288
Breitbart News,2025-04-19T18:56:08Z,"NBC's 'Law & Order' Portrays Migrants as Innocent, Cops as Rapists and Murderers NBC's Law & Order distorted illegal alien crime in America, portraying illegals as innocent and police as rapists and murderers.
The post NBC’s ‘Law & Order’ Portrays Migrants as Innocent, Cops as Rapists and Murderers appeared first on Breitbart. NBC’s Law &amp; Order flipped the script this week in an effort to distort illegal alien crime in America, portraying illegals as innocent and police as rapists and murderers.
Law &amp; Order often … [+2628 chars]",nbcs law order portrays migrants innocent cops rapists murderers nbcs law order distorted illegal alien crime america portraying illegals innocent police rapists murderers post nbc’s ‘law order’ portrays migrants innocent cops rapists murderers appeared first breitbart nbc’s law amp order flipped script week effort distort illegal alien crime america portraying illegals innocent police rapists murderers law amp order often … chars,https://www.breitbart.com/entertainment/2025/04/19/nbcs-law-order-portrays-migrants-as-innocent-cops-as-rapists-and-murderers/,america,,unknown,39.7837304,-100.445882
New York Post,2025-04-19T18:51:21Z,"Dangerous jetty caused surfer’s tragic death at federal park in Queens: residents An award-winning 35-year-old filmmaker drowned surfing after his board apparently got tangled in wooden jetties along notoriously treacherous waters at Jacob Riis Park in Queens, according to police sources and residents. An award-winning filmmaker drowned at Jacob Riis Park in Queens last week after his surfboard apparently got tangled in a decrepit wooden jetty, a deadly obstruction residents have begged the federal… [+4457 chars]",dangerous jetty caused surfer’s tragic death federal park queens residents awardwinning yearold filmmaker drowned surfing board apparently got tangled wooden jetties along notoriously treacherous waters jacob riis park queens according police sources residents awardwinning filmmaker drowned jacob riis park queens last week surfboard apparently got tangled decrepit wooden jetty deadly obstruction residents begged federal… chars,https://nypost.com/2025/04/19/us-news/feds-failure-to-fix-rockaway-beach-safety-issues-blamed-for-surfing-death-of-filmmaker/,,,unknown,46.3144754,11.0480288
Wnd.com,2025-04-19T18:43:56Z,"Dems failed in 2024 because leaders were ‘lying about Biden’s mental acuity’ Analysis: Fibbing reinforced voters' suspicions the party won't admit uncomfortable truths on crime, immigration, inflation Donald Trumps victory in the 2024 president election outraged Democrats and delighted Republicans. Progressives have been tempted to console themselves with congenial fantasies or to sink into despai… [+9992 chars]",dems failed leaders ‘lying biden’s mental acuity’ analysis fibbing reinforced voters suspicions party wont admit uncomfortable truths crime immigration inflation donald trumps victory president election outraged democrats delighted republicans progressives tempted console congenial fantasies sink despai… chars,https://www.wnd.com/2025/04/dems-failed-in-2024-because-leaders-were-lying-about-bidens-mental-acuity/,,,unknown,46.3144754,11.0480288
Breitbart News,2025-04-19T18:43:46Z,"Brooklyn Tesla Vandalism Suspect Is a Licensed Mental Health Therapist As a licensed counselor and therapist helping to keep criminal offenders out of prison, a Brooklyn woman accused of trashing a parked Tesla may need some of her own professional expertise. According to the New York Post, 46-year old Natasha
The post Brooklyn … As a licensed counselor and therapist helping to keep criminal offenders out of prison, a Brooklyn woman accused of trashing a parked Tesla may need some of her own professional expertise.
According… [+2998 chars]",brooklyn tesla vandalism suspect licensed mental health therapist licensed counselor therapist helping keep criminal offenders prison brooklyn woman accused trashing parked tesla may need professional expertise according new york post year old natasha post brooklyn … licensed counselor therapist helping keep criminal offenders prison brooklyn woman accused trashing parked tesla may need professional expertise according… chars,https://www.breitbart.com/crime/2025/04/19/brooklyn-tesla-vandal-is-a-licensed-mental-health-therapist/,"brooklyn, new york",,unknown,40.6526006,-73.9497211
New York Post,2025-04-19T18:39:30Z,"Miracle at the mall: boy viciously thrown off balcony by deranged stranger now thriving Landen Hoffmann, 5, broke his skull, facial bones, both arms and a leg when he a deranged stranger randomly picked him up at the mall and tossed him over the side of the third-floor balcony. The Minnesota boy who was thrown from a Mall of America balcony six years ago and had to undergo emergency surgery and years of rehabilitation is now thriving, his mother said.
Landen Hoffmann was j… [+1907 chars]",miracle mall boy viciously thrown balcony deranged stranger thriving landen hoffmann broke skull facial bones arms leg deranged stranger randomly picked mall tossed side thirdfloor balcony minnesota boy thrown mall america balcony six years ago undergo emergency surgery years rehabilitation thriving mother said landen hoffmann j… chars,https://nypost.com/2025/04/19/us-news/landen-hoffmann-thriving-six-years-after-attack-says-mother-kari/,"america, minnesota",,unknown,45.9896587,-94.6113288
PBS,2025-04-19T18:35:48Z,A U.S. citizen was held for pickup by ICE despite proof he was born in the country Juan Carlos Lopez Gomez was arrested in Florida for allegedly being in the country illegally and held for pickup by immigration authorities even after his mother showed a judge her son’s birth certificate and the judge dismissed charges. MIAMI (AP) A U.S. citizen was arrested in Florida for allegedly being in the country illegally and held for pickup by immigration authorities even after his mother showed a judge her sons birth certi… [+2261 chars],us citizen held pickup ice despite proof born country juan carlos lopez gomez arrested florida allegedly country illegally held pickup immigration authorities even mother showed judge son’s birth certificate judge dismissed charges miami ap us citizen arrested florida allegedly country illegally held pickup immigration authorities even mother showed judge sons birth certi… chars,https://www.pbs.org/newshour/politics/a-u-s-citizen-was-held-for-pickup-by-ice-despite-proof-he-was-born-in-the-country,"miami, florida",,unknown,25.7741728,-80.19362
The Times of India,2025-04-19T18:34:24Z,"A Good Girl's Guide to Murder Season 2 begins filming: When will new episodes release? Season 1 of A Good Girl’s Guide to Murder, which debuted last year on BBC iPlayer, followed Pip as she launched a gripping investigation into the long-unsolved murder of a local schoolgirl. Filming has officially commenced for A Good Girls Guide to Murder Season 2, with the BBC confirming the return of its much-celebrated teen crime drama. The announcement was made via an engaging behin… [+3236 chars]",good girls guide murder season begins filming new episodes release season good girl’s guide murder debuted last year bbc iplayer followed pip launched gripping investigation longunsolved murder local schoolgirl filming officially commenced good girls guide murder season bbc confirming return muchcelebrated teen crime drama announcement made via engaging behin… chars,https://economictimes.indiatimes.com/news/international/us/a-good-girls-guide-to-murder-season-2-begins-filming-when-will-new-episodes-release/articleshow/120439854.cms,,murder,murder,46.3144754,11.0480288
ComicBook.com,2025-04-19T18:30:00Z,"7 Best Sci-fi Shows With Only One Season (And Where to Watch Them) Image courtesy of Netflix.
There’s a popular saying that quantity doesn’t equal quality, and that’s certainly true when it comes to some of the best sci-fi shows around. While dozens of incredible shows have run for multiple seasons, there are just as many ge… There’s a popular saying that quantity doesn’t equal quality, and that’s certainly true when it comes to some of the best sci-fi shows around. While dozens of incredible shows have run for multiple s… [+8944 chars]",best scifi shows one season watch image courtesy netflix there’s popular saying quantity doesn’t equal quality that’s certainly true comes best scifi shows around dozens incredible shows run multiple seasons many ge… there’s popular saying quantity doesn’t equal quality that’s certainly true comes best scifi shows around dozens incredible shows run multiple s… chars,http://comicbook.com/tv-shows/news/best-sci-fi-shows-only-one-season-where-to-watch-firefly-station-eleven/,netflix,,unknown,40.7637635,-73.9743027
NPR,2025-04-19T18:24:35Z,"She grew up believing she was a U.S. citizen. Then she applied for a passport Among those fearful of the Trump administration's immigration crackdown are adoptees who grew up thinking they were U.S. citizens — only to find out years later, in adulthood, they're not. For the better part of A's life, she never suspected anything was wrong.
She breezed through getting her driver's license. She applied to college and filed her taxes year after year without any hicc… [+10636 chars]",grew believing us citizen applied passport among fearful trump administrations immigration crackdown adoptees grew thinking us citizens — find years later adulthood theyre better part life never suspected anything wrong breezed getting drivers license applied college filed taxes year year without hicc… chars,https://www.npr.org/2025/04/19/g-s1-60166/trump-immigration-citizenship-deportation-adoptee-south-korea,,,unknown,46.3144754,11.0480288
Thegatewaypundit.com,2025-04-19T18:20:50Z,"Woke Brooklyn Therapist Accused of Leaving Brick Scrawled with ‘Nazi’ on Tesla in Jewish Neighborhood Facing Hate-Crime Charges A Brooklyn therapist faces hate-crime charges after allegedly vandalizing a Tesla with a swastika, citing deep-seated fears about the political climate. This incident raises critical questions about ideology and accountability.
The post Woke Brooklyn Therapis… Surveillance footage courtesy of DCPI
A Brooklyn woman, Natasha Cohen, has been accused of leaving a brick scrawled with a swastika and the word Nazi on a parked Tesla in a largely Jewish neighborho… [+1649 chars]",woke brooklyn therapist accused leaving brick scrawled ‘nazi’ tesla jewish neighborhood facing hatecrime charges brooklyn therapist faces hatecrime charges allegedly vandalizing tesla swastika citing deepseated fears political climate incident raises critical questions ideology accountability post woke brooklyn therapis… surveillance footage courtesy dcpi brooklyn woman natasha cohen accused leaving brick scrawled swastika word nazi parked tesla largely jewish neighborho… chars,https://www.thegatewaypundit.com/2025/04/woke-brooklyn-therapist-accused-leaving-brick-scrawled-nazi/,"brooklyn, dcpi",,unknown,,
